,token_index,value
2777,4354,97.0302
2778,4355,50.65106
2779,4356,27.50818
2780,4357,32.342094
2781,4358,19.577744
2782,4359,38.36963
2783,4360,73.427734
2784,4361,80.58821
2785,4362,25.63812
2786,4364,22.880882
2787,4365,27.966358
2788,4366,16.623356
2789,4367,50.17626
2790,4368,91.391556
2791,4369,20.209146
2792,4370,18.705006
2793,4372,30.744396
2794,4373,116.0451
2795,4374,23.274946
2796,4375,72.72336
2797,4378,78.85533
2798,4379,76.67356
2799,4383,43.094357
2800,4387,31.423586
2801,4389,90.907196
2802,4390,28.119051
2803,4391,87.64296
2804,4392,14.167084
2805,4393,50.584774
2806,4394,53.58323
2807,4395,13.451753
2808,4396,110.95399
2809,4399,44.35794
2810,4400,44.84965
2811,4401,29.047737
2812,4402,65.17174
2813,4405,45.821053
2814,4406,17.251608
2815,4407,83.61823
2816,4408,71.76979
2817,4410,143.95958
2818,4411,70.62914
2819,4413,18.403753
2820,4414,49.368973
2821,4416,73.605545
2822,4417,23.168894
2823,4419,18.02991
2824,4420,26.619825
2825,4422,5.7086916
2826,4423,31.911211
2827,4425,16.696985
2828,4426,34.40482
2829,4427,14.861769
2830,4428,27.065521
2831,4430,76.76986
2832,4431,33.92573
2833,4432,73.50199
2834,4433,14.608697
2835,4434,60.76626
2836,4436,98.23622
2837,4441,184.71349
2838,4443,70.71857
2839,4444,31.282404
2840,4445,23.705288
2841,4446,12.606167
2842,4447,70.50845
2843,4448,66.64998
2844,4449,70.532135
2845,4452,38.12517
2846,4453,69.61133
2847,4454,75.61194
2848,4455,26.705744
2849,4456,84.60045
2850,4458,72.34197
2851,4460,90.46533
2852,4461,90.92856
2853,4463,44.03286
2854,4464,2471.5105
2855,4465,27.300062
2856,4466,41.617577
2857,4467,22.083887
2858,4468,99.830605
2859,4469,39.044754
2860,4470,48.55085
2861,4471,31.333536
2862,4473,88.672844
2863,4474,61.015484
2864,4475,17.41857
2865,4476,16.100306
2866,4477,78.28202
2867,4478,51.849155
2868,4479,59.682816
2869,4480,97.01303
2870,4481,21.021776
2871,4482,81.68589
2872,4484,31.4722
2873,4485,33.41874
2874,4486,73.92273
2875,4487,1.0296986
2876,4488,4.953581
2877,4489,18.038652
2878,4490,20.561653
2879,4491,25.134043
2880,4493,17.431992
2881,4494,16.412144
2882,4495,23.779799
2883,4496,21.970404
2884,4497,19.576971
2885,4499,15.124579
2886,4502,21.517551
2887,4503,42.989178
2888,4505,14.918031
2889,4506,155.60283
2890,4507,86.2107
2891,4508,25.092794
2892,4509,13.832185
2893,4511,103.22227
2894,4512,33.70782
2895,4513,63.90677
2896,4514,24.368717
2897,4515,82.373314
2898,4516,77.15076
2899,4517,91.10917
2900,4519,27.116516
2901,4521,56.955498
2902,4523,18.346361
2903,4524,75.997
2904,4526,234.2209
2905,4528,13.09715
2906,4529,160.47632
2907,4532,42.349842
2908,4533,25.869139
2909,4534,75.709496
2910,4535,8.951343
2911,4536,68.534706
2912,4537,18.675756
2913,4538,30.26355
2914,4539,41.603077
2915,4540,28.974539
2916,4541,67.48532
2917,4542,47.099495
2918,4543,71.11093
2919,4546,16.223957
2920,4547,9.533977
2921,4548,66.61507
2922,4549,15.53119
2923,4550,91.63311
2924,4551,249.22766
2925,4553,65.31661
2926,4554,22.27325
2927,4555,14.715768
2928,4556,42.744583
2929,4557,84.526726
2930,4558,14.697994
2931,4560,62.006603
2932,4561,34.71939
2933,4562,57.460697
2934,4563,24.18388
2935,4564,29.721317
2936,4565,51.874615
2937,4569,63.503323
2938,4571,65.02897
2939,4572,16.812185
2940,4573,72.68276
2941,4576,58.149963
2942,4578,20.07661
2943,4579,52.761528
2944,4583,32.060276
2945,4584,41.560585
2946,4587,77.8075
2947,4590,71.34085
2948,4591,44.931313
2949,4592,30.703913
2950,4593,81.23564
2951,4594,88.20861
2952,4596,30.73848
2953,4598,106.53983
2954,4599,124.64635
2955,4600,51.104515
2956,4601,88.47325
2957,4602,11.010353
2958,4606,37.030453
2959,4607,80.528786
2960,4608,258.7287
2961,4609,27.199331
2962,4610,84.303734
2963,4611,148.66931
2964,4612,27.228662
2965,4613,200.9534
2966,4614,24.91482
2967,4615,18.619541
2968,4616,73.17369
2969,4618,50.955044
2970,4619,86.67733
2971,4621,23.386843
2972,4622,14.998422
2973,4624,105.09563
2974,4626,156.73198
2975,4628,19.57223
2976,4630,52.197666
2977,4631,41.540157
2978,4632,107.2094
2979,4633,84.7229
2980,4634,35.53712
2981,4635,62.520348
2982,4636,54.54623
2983,4637,91.14052
2984,4639,108.12906
2985,4640,52.154705
2986,4641,14.570495
2987,4642,15.905297
2988,4643,76.17056
2989,4644,20.346104
2990,4645,92.19744
2991,4646,17.511702
2992,4647,46.896416
2993,4648,20.241705
2994,4649,9.3272705
2995,4650,94.88249
2996,4654,95.31056
2997,4656,38.786663
2998,4657,18.184578
2999,4658,59.918037
3000,4659,34.314655
3001,4660,21.652296
3002,4661,40.77759
3003,4662,22.867445
3004,4663,30.597614
3005,4664,76.65152
3006,4666,66.87456
3007,4669,17.015936
3008,4670,98.93119
3009,4672,20.146784
3010,4679,88.33538
3011,4680,75.277985
3012,4681,132.78874
3013,4684,14.7919
3014,4686,94.03354
3015,4688,18.079655
3016,4689,77.83684
3017,4690,93.01442
3018,4691,15.117978
3019,4692,51.235775
3020,4694,27.945066
3021,4695,15.311446
3022,4696,27.118868
3023,4697,25.631514
3024,4699,94.05267
3025,4700,65.98672
3026,4701,12.365806
3027,4702,23.46086
3028,4703,76.32004
3029,4704,65.60491
3030,4706,25.35428
3031,4707,9.942627
3032,4711,49.416145
3033,4713,195.82004
3034,4715,64.08824
3035,4716,124.46342
3036,4717,21.81325
3037,4719,35.233036
3038,4720,73.716
3039,4721,62.775223
3040,4722,77.195465
3041,4723,18.237135
3042,4724,77.214714
3043,4726,24.849817
3044,4727,69.15998
3045,4729,75.91001
3046,4730,21.258495
3047,4731,75.54757
3048,4733,69.74392
3049,4734,78.285805
3050,4738,28.65321
3051,4739,81.83961
3052,4740,53.50842
3053,4741,17.338196
3054,4742,59.422867
3055,4743,89.081795
3056,4744,89.33464
3057,4747,7.8143916
3058,4748,35.465836
3059,4749,74.47746
3060,4750,34.86943
3061,4751,50.90894
3062,4753,73.85686
